Codigo,Prateleira,Autor,Titulo,Cidade,Editora,Ano Publicação,Genero,Origem,Quantidade Volumes
7559,Lit. Inf. Juvenil,"Hugo, Victor",Corcunda de Notre-Dame,São Paulo,Scipione,1997,Lit. Inf  Juvenil,Governo,1
7562,Lit. Inf. Juvenil,"Hugo, Victor",Corcunda de Notre-Dame,São Paulo,Scipione,1997,Lit. Inf  Juvenil,Governo,1
7568,Ficção,"Bilac, Olavo","Esqueleto, O",Rio de Janeiro,Casa da Palavra,2000,Ficção,Governo,5
7570,Ficção,"Bilac, Olavo","Esqueleto, O",Rio de Janeiro,Casa da Palavra,2000,Ficção,Governo,5
7572,Ficção,"Bilac, Olavo","Esqueleto, O",Rio de Janeiro,Casa da Palavra,2000,Ficção,Governo,5
7580,Lit. Inf. Juvenil,"Rocha, Ruth",Odisséia,São Paulo,Cia das Letrinhas,2000,Lit. Inf  Juvenil,Governo,1
7583,Lit. Inf. Juvenil,"Rocha, Ruth",Odisséia,São Paulo,Cia das Letrinhas,2000,Lit. Inf  Juvenil,Governo,1
7584,Lit. Inf. Juvenil,"Rocha , Ruth",Odisséia,São Paulo,Cia das Letrinhas,2000,Lit. Inf  Juvenil,Governo,1
7761,Lit Inf. Juvenil,"Bandeira, Pedro","Primeiro Amor de Laurinha, O",São Paulo,Hamburg,1999,Lit. Inf  Juvenil,Governo,1
7767,Lit. Inf. Juvenil,"Hetzel, Bia","Dia da Caça: aventuras do pequeno naturalista, O",São Paulo,Brinque-Book,1998,Lit. Inf  Juvenil,Governo,1
7782,Lit. Inf. Juvenil,"Scliar, Moacyr",Colina dos suspiros ,São Paulo,Moderna,1999,Lit. Inf  Juvenil,Governo,2
7800,Lit. Inf. Juvenil,"Rocha , Ruth",Odisséia,São Paulo,Cia das Letrinhas,2000,Lit. Inf  Juvenil,Governo,1
7884,Romance,"Winston, Groom ",Forrest Gump,Rio de Janeiro,Rocco,1995,Romance,Governo,1
7888,Romance,"Sabino, Fernando","Encontro Marcado, O",Rio de Janeiro,Record,2001,Romance,Governo,1
7890,Romance,"Hesse, Hermann",Demian,Rio de Janeiro,Record,2001,Romance,Governo,1
7894,Ficção,"Forsyth, Frederick","Dia do Chacal, O",Rio de Janeiro,Record,2001,Ficção,Governo,1
7904,Lit. Inf  Juvenil,Sandra Werneck,Pequeno Dicionário amoroso,Rio de Janeiro,Objetiva,2001,Contos,Governo,1
7907,Contos,Márcia Denser,"Cem melhores contos brasileiros do século, Os ",Rio de Janeiro,Objetiva,2001,Contos,Governo,1
7913,Ficção,"Christie, Agatha","Caso dos Dez Negrinhos, O",São Paulo,O Globo,2001,Ficção,Governo,1
7914,Lit. Inf. Juvenil,"Braz, Júlio Emílio","Cor da pele, Na ",Rio de Janeiro,José Olympio,2000,Lit. Inf  Juvenil,Governo,1
7928,Ficção,Edgar  Allan Poe,Histórias Extraordinárias de Allan Poe,Rio de Janeiro,Ediouro,1998,Contos,Governo,1
7939,Romance,João Anzanello Carrascoza,"Vaso azul, O ",São Paulo,Ática,2001,Contos,Governo,1
7944,Lit. Inf. Juvenil,"Haggard, Henry Rider","Minas dos Rei Salomão, As",São Paulo,Scipione,1997,Lit. Inf  Juvenil,Governo,1
7945,,"Wilde, Oscar","Fantasma de Canterville, O ",São Paulo,Scipione,1997,Lit. Inf  Juvenil,Governo,1
7948,Lit. Inf. Juvenil,"Piza, Daniel",Senhoritos de Nova York,São Paulo,FTD,1999,Lit. Inf  Juvenil,Governo,1
7971,Romance,"Machado, Aníbal Monteiro",João Ternura,Rio de Janeiro,josé Olympio,2001,Romance,Governo,1
7987,Romance,"Pellegrini, Domingos","Caso da Chácara Chão, O",Rio de Janeiro,Record,2001,Romance,Governo,1
8220,Ficção,"Machado, Ana Maria","Bisa Bia, Bisa Bel",São Paulo,Moderna,2001,Lit. Inf  Juvenil,Governo,1
8322,Lit. Inf. Juvenil,"Carrasco, Walcyr","Miseráveis, Os ",São Paulo,Richmond ,2018,Lit. Inf  Juvenil,Governo,6
8360,Ficção,"Pinsky, Mirna","Carta errante, avó atrapalhada, menina aniversariante",São Paulo,FTD,2001,Ficção,Governo,1
8392,Poema,"Murray, Roseana","Bailariana, A",São Paulo,FTD,2001,Poesia,Governo,1
8459,Conto,"Machado, Ana maria e outros",Quem conta um conto?,São Paulo,FTD,2001,Lit. Inf  Juvenil,Governo,1
8464,Conto,"Machado, Ana maria e outros",Quem conta um conto?,São Paulo,FTD,2001,Lit. Inf  Juvenil,Governo,1
8812,Lit. Inf. Juvenil,Mark Twain,"Assassinato, um Mistério e um Casamento, Um ",Rio de Janeiro,Objetiva,2001,Lit. Inf  Juvenil,,1
8813,Lit. Inf. Juvenil,Mark Twain,"Assassinato, um Mistério e um Casamento, Um ",Rio de Janeiro,Objetiva,2001,Lit. Inf  Juvenil,,1
8858,Lit. Inf. Juvenil,"Sabino, Fernando",Cara ou Coroa,São Paulo,Ática,2002,Lit. Inf  Juvenil,Governo,1
8859,Lit. Inf. Juvenil,"Sabino, Fernando",Cara ou Coroa,São Paulo,Ática,2002,Lit. Inf  Juvenil,Governo,1
8892,Lit. Inf. Juvenil,"Lasky, Kathryn","Bibliotecário que mediu a Terra, O",Rio de Janeiro,Salamandra,2001,Lit. Inf  Juvenil,Governo,8
8907,Lit. Inf. Juvenil,"Carvalho, Raimundo",Circo Universal,Belo Horizonte,Dimensão,2000,Lit. Inf  Juvenil,Governo,1
8922,Lit. Inf. Juvenil,"Nuvens, Sebastião","Cidade das Estrelas, A",Sabará,Dubolsinho,2002,Lit. Inf  Juvenil,Governo,1
8934,Romance,"Uris, Leon",Exodus,Rio de Janeiro,Record,2002,Romance,Governo,1
8935,Romance,"Aubert, Brigitte",Réquiem Caribenho,São Paulo,Cia das Letras,2001,Romance,Governo,1
8942,Ficção,"Aldiss, Brian",Superbrinquedo duram o verão todo,São Paulo,Cia das Letras,2001,Ficção,Governo,1
8947,Diversos,"Young, Fernanda e Outro","Normais, Os",Rio de Janeiro,Objetiva,2002,Televisão,Governo,1
8960,Ficção,"Christie, Agatha",Aventura em Bagdá,Rio de Janeiro,Nova Fronteira,2003,Ficção,Governo,1
8973,Romande,"Alencar, José de",Ubirajara,São Paulo,Ediouro,2002,Romance,Governo,1
8990,Ficção,"Lobato, Monteiro",Alice  no País das Maravilhas,São Paulo,Cia Nacional,2002,Lit. Inf  Juvenil,Governo,1
8998,Romance,"London, Jack",Caninos Brancos,São Paulo,Cia Nacional,2002,Romance,Governo,1
8999,Lit. Inf. Juvenil,"Porter, Eleanor Hodgan",Pollyana,São Paulo,Nacional ,2002,Lit. Inf  Juvenil,Governo,1
9000,Lit. Inf. Juvenil,"Porter, Eleanor Hodgan",Pollyana,São Paulo,Nacional ,2002,Lit. Inf  Juvenil,Governo,1
9025,,Frances Fyfield,Jogo de Sombras,São Paulo,Cia das Letras,1997,Contos,Governo,1
9038,Ficção,"Kafka, Franz","Metamorfose, A",São Paulo,Cia das Letras,1997,Ficção,Governo,1
9146,Lit. Inf. Juvenil,"Sandroni, Luciana",Minhas memórias de Lobato,São Paulo,Cia das Letrinhas,1997,Lit. Inf  Juvenil,Governo,1
9181,Lit. Inf. Juvenil,"Rocha , Ruth",Odisséia,São Paulo,Cia das Letrinhas,2000,Lit. Inf  Juvenil,Governo,1
9183,Lit. Inf. Juvenil,"Rocha , Ruth",Odisséia,São Paulo,Cia das Letrinhas,2000,Lit. Inf  Juvenil,Governo,1
9260,Lit. Inf. Juvenil,"Pinsky, Mirna Gleich",Sonho de Verão: uma história de amor,São Paulo,SENAC,2003,Lit. Inf  Juvenil,Governo,1
9261,,Atiq Rahimi,Terra e Cinzas,São Paulo,Estação Liberdade,2002,Romance,Governo,1
9262,,Atiq Rahimi,Terra e Cinzas,São Paulo,Estação Liberdade,2002,Romance,Governo,1
