Codigo,Prateleira,Autor,Titulo,Cidade,Editora,Ano Publicação,Genero,Origem,Quantidade Volumes
9971,Lit. Inf. Juvenil,"Cony, Carlos Heitor",Mil e uma noites,Rio de Janeiro,Ediouro,2001,Lit. Inf  Juvenil,Governo,1
9977,Romance,"Mendonça, Bernardo de",Romance da Onça Dragona,Rio de Janeiro,Graphia,2003,Lit. Inf  Juvenil,Governo,1
9982,Teatro,"Machado, Maria  Clara","Diamante do Grão-mogol, O ",São Paulo,Cia das Letras,2003,Teatro ,Governo,1
9992,Ficção,"Kafka, Franz","Metamorfose, A",São Paulo,Cia das Letras,2003,Ficção,Governo,1
10012,Romance,"Stevenson, Robert Louis",Raptado,São Paulo,Cia Ed. Nacional,2003,Romance,Governo,1
10013,Romance,"Stevenson, Robert Louis",Raptado,São Paulo,Cia Ed. Nacional,2003,Romance,Governo,1
10022,Lit Inf. Juvenil,"Alencar, José de",Ubirajara,São Paulo,Martins Fontes,2003,Lit. Inf  Juvenil,Governo,1
10026,Romance,"Veríssimo, Erico","Tempo e o Vento, O",São Paulo,Globo,2003,Romance,Governo,1
10044,Coleção,"Lobato, Monteiro","Reforma da Natureza, A",São Paulo,Brasiliense,2004,Lit. Inf  Juvenil,Governo,1
10045,Lit. Inf. Juvenil,"Lobato, Monteiro",Peter Pan,São Paulo,Brasiliense,2004,Lit. Inf  Juvenil,Governo,1
10047,Coleção,"Lobato, Monteiro","Chave do Tamanho, A",São Paulo,Brasiliense,2004,Lit. Inf  Juvenil,Governo,1
10052,Lit. Inf. Juvenil,"Lobato, Monteiro",Caçadas de Pedrinho,São Paulo,Brasiliense,2004,Lit. Inf  Juvenil,Governo,1
10053,Coleção,"Lobato, Monteiro",Emília no País da Gramática,São Paulo,Brasiliense,2004,Lit. Inf  Juvenil,Governo,1
10053,Lit. Inf. Juvenil,"Versiani, Ivana",Ainda uma vez - Adeus!,Sabará,Dubolsinho,2006,Lit. Inf  Juvenil,Governo,1
10054,Coleção,"Lobato, Monteiro",Aritmética da Emília,São Paulo,Brasiliense,2004,Lit. Inf  Juvenil,Governo,1
10055,Coleção,"Lobato, Monteiro",Memórias de Emília,São Paulo,Brasiliense,2004,Lit. Inf  Juvenil,Governo,1
10056,Lit. Inf. Juvenil,"Lobato, Monteiro",Histórias de Tia Nastácia,São Paulo,Brasiliense,1995,Lit. Inf  Juvenil,Governo,1
